Field Path,Type(s),Files Present,Total Occurrences,Null Count,Null %,Is List,List Info,Sample Values
data.content.lineup.awayTeam.starters[1].performance.events[0].type,str(2),2,2,0,0.0%,No,,"['assist', 'yellowCard']"
data.content.lineup.awayTeam.starters[1].performance.fantasyScore,str(1),1,1,0,0.0%,No,,['1']
data.content.lineup.awayTeam.starters[1].performance.rating,"float(4), int(1)",5,5,0,0.0%,No,,"[6.5, 6, 6.6]"
data.content.lineup.awayTeam.starters[1].performance.substitutionEvents,list(5),5,5,0,0.0%,Yes,"min:1, max:1, avg:1.0",N/A
data.content.lineup.awayTeam.starters[1].performance.substitutionEvents[0],dict(5),5,5,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[1].performance.substitutionEvents[0].reason,str(4),4,4,0,0.0%,No,,['unknown']
data.content.lineup.awayTeam.starters[1].performance.substitutionEvents[0].time,int(5),5,5,0,0.0%,No,,"[77, 55, 46]"
data.content.lineup.awayTeam.starters[1].performance.substitutionEvents[0].type,str(5),5,5,0,0.0%,No,,['subOut']
data.content.lineup.awayTeam.starters[1].positionId,int(9),9,9,0,0.0%,No,,"[32, 33]"
data.content.lineup.awayTeam.starters[1].rankings,null(9),9,9,9,100.0%,No,,N/A
data.content.lineup.awayTeam.starters[1].shirtNumber,str(9),9,9,0,0.0%,No,,"['2', '21', '14']"
data.content.lineup.awayTeam.starters[1].usualPlayingPositionId,int(9),9,9,0,0.0%,No,,"[1, 2]"
data.content.lineup.awayTeam.starters[1].verticalLayout,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[1].verticalLayout.height,float(9),9,9,0,0.0%,No,,"[0.2, 0.192]"
data.content.lineup.awayTeam.starters[1].verticalLayout.width,float(9),9,9,0,0.0%,No,,"[0.25, 0.29, 0.195]"
data.content.lineup.awayTeam.starters[1].verticalLayout.x,float(9),9,9,0,0.0%,No,,"[0.125, 0.21, 0.305]"
data.content.lineup.awayTeam.starters[1].verticalLayout.y,float(9),9,9,0,0.0%,No,,"[0.357, 0.292]"
data.content.lineup.awayTeam.starters[2],dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[2].age,int(9),9,9,0,0.0%,No,,"[25, 26, 21]"
data.content.lineup.awayTeam.starters[2].countryCode,str(9),9,9,0,0.0%,No,,"['SVN', 'USA', 'FRA']"
data.content.lineup.awayTeam.starters[2].countryName,str(9),9,9,0,0.0%,No,,"['Slovenia', 'USA', 'France']"
data.content.lineup.awayTeam.starters[2].firstName,str(9),9,9,0,0.0%,No,,"['Lana', 'Emily', 'Kysha']"
data.content.lineup.awayTeam.starters[2].horizontalLayout,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[2].horizontalLayout.height,float(9),9,9,0,0.0%,No,,"[0.25, 0.195]"
data.content.lineup.awayTeam.starters[2].horizontalLayout.width,float(9),9,9,0,0.0%,No,,"[0.257, 0.192]"
data.content.lineup.awayTeam.starters[2].horizontalLayout.x,float(9),9,9,0,0.0%,No,,"[0.357, 0.292]"
data.content.lineup.awayTeam.starters[2].horizontalLayout.y,float(9),9,9,0,0.0%,No,,"[0.625, 0.5]"
data.content.lineup.awayTeam.starters[2].id,int(9),9,9,0,0.0%,No,,"[936617, 1406297, 1320894]"
data.content.lineup.awayTeam.starters[2].lastName,str(9),9,9,0,0.0%,No,,"['Golob', 'Sams', 'Sylla']"
